date,school,work,home,sleep,friends,commute,walk
Jan-19,12.45,147.91,365.03,195.43,17.58,6.85,4.72
Feb-19,18.26,139.41,316.96,192.08,3.02,3.1,2.39
Mar-19,27.07,140.19,273.78,207.25,16.64,8.13,2.99
Apr-19,26.3,118.24,368.7,201.01,3.69,9.25,3.02
May-19,14.49,131.67,317.47,196.81,18.59,4.9,3.73
Jun-19,0.71,121.3,377.53,189.77,16.68,6.03,4.29
Jul-19,1.74,117.59,282.55,194.16,8.82,7.06,16.61
Aug-19,26.78,110.81,221.31,209.83,12.53,41.33,12.21
Sep-19,151.19,28.99,331.77,227.41,0.46,27.86,6.17
Oct-19,155.95,61.58,339.2,231.61,4.38,29.78,2.49
Nov-19,112.49,51.24,361.68,144.22,34.63,30.28,3.25
Dec-19,51.02,64.89,202.72,198.94,19.74,42.55,10.43
