date,school,work,home,sleep,friends,commute,walk
Jan-20,26.23,43.12,419.09,232.5,4.47,20.31,5.29
Feb-20,110.43,40.6,213.55,213.55,21.71,20.86,3.43
Mar-20,57.25,23.2,637.33,231.5,11.39,15.08,8.81
Apr-20,0,0,716.86,224.74,,0,13.77
May-20,0,0,733.85,224.94,0.74,0,14.36
Jun-20,0,0,723.53,209.01,1.13,1.51,14.01
Jul-20,0,0,596.24,223.04,88.49,0.78,18.01
Aug-20,0,0,524.12,172.21,13.71,5.56,14.43
Sep-20,17.81,0,647.36,194.06,11.18,9.6,15.97
Oct-20,14.9,0,661.37,202.53,30.38,5.94,15.15
Nov-20,11.84,0,690.23,197.53,3.2,4.33,15.85
Dec-20,0,0,666.86,221.57,43.26,1.48,17.13
