date,totalCases,newCases,totalDeaths,newDeaths
1/22/20,557,0,17,0
1/23/20,655,98,18,1
1/24/20,941,286,26,8
1/25/20,1433,492,42,16
1/26/20,2118,685,56,14
1/27/20,2927,809,82,26
1/28/20,5578,2651,131,49
1/29/20,6167,589,133,2
1/30/20,8235,2068,171,38
1/31/20,9927,1692,213,42
2/1/20,12038,2111,259,46
2/2/20,16787,4749,362,103
2/3/20,19887,3100,426,64
2/4/20,23898,4011,492,66
2/5/20,27643,3745,564,72
2/6/20,30803,3160,634,70
2/7/20,34396,3593,719,85
2/8/20,37130,2734,806,87
2/9/20,40160,3030,906,100
2/10/20,42769,2609,1013,107
2/11/20,44811,2042,1113,100
2/12/20,45229,418,1118,5
2/13/20,60382,15153,1371,253
2/14/20,66909,6527,1523,152
2/15/20,69052,2143,1666,143
2/16/20,71235,2183,1770,104
2/17/20,73270,2035,1868,98
2/18/20,75152,1882,2008,140
2/19/20,75652,500,2123,115
2/20/20,76212,560,2248,125
2/21/20,76841,629,2252,4
2/22/20,78602,1761,2459,207
2/23/20,78982,380,2470,11
2/24/20,79546,564,2630,160
2/25/20,80399,853,2710,80
2/26/20,81376,977,2771,61
2/27/20,82736,1360,2814,43
2/28/20,84122,1386,2873,59
2/29/20,86013,1891,2942,69
3/1/20,88394,2381,2996,54
3/2/20,90377,1983,3085,89
3/3/20,92971,2594,3160,75
3/4/20,95279,2308,3255,95
3/5/20,98090,2811,3349,94
3/6/20,102003,3913,3460,111
3/7/20,106098,4095,3564,104
3/8/20,110047,3949,3803,239
3/9/20,114219,4172,3993,190
3/10/20,119041,4822,4267,274
3/11/20,126702,7661,4611,344
3/12/20,132492,5790,4917,306
3/13/20,146876,14384,5414,497
3/14/20,157950,11074,5834,420
3/15/20,169219,11269,6470,636
3/16/20,184027,14808,7153,683
3/17/20,199970,15943,7966,813
3/18/20,219535,19565,8872,906
3/19/20,246584,27049,9983,1111
3/20/20,277359,30775,11469,1486
3/21/20,309350,31991,13191,1722
3/22/20,344205,34855,14877,1686
3/23/20,387040,42835,16826,1949
3/24/20,428219,41179,19116,2290
3/25/20,479220,51001,21926,2810
3/26/20,542097,62877,24962,3036
3/27/20,607138,65041,28450,3488
3/28/20,674418,67280,32180,3730
3/29/20,733655,59237,35699,3519
3/30/20,798949,65294,39780,4081
3/31/20,875794,76845,44528,4748
4/1/20,958586,82792,50527,5999
4/2/20,1041649,83063,56414,5887
4/3/20,1125200,83551,62574,6160
4/4/20,1183589,58389,68490,5916
4/5/20,1256181,72592,73676,5186
4/6/20,1329324,73143,79614,5938
4/7/20,1399153,69829,87875,8261
4/8/20,1482508,83355,94681,6806
4/9/20,1569527,87019,102464,7783
4/10/20,1655062,85535,109842,7378
4/11/20,1729373,74311,116015,6173
4/12/20,1849067,119694,121873,5858
4/13/20,1919799,70732,127843,5970
4/14/20,2003766,83967,134812,6969
4/15/20,2080914,77148,143278,8466
4/16/20,2176465,95551,150537,7259
4/17/20,2264462,87997,158930,8393
4/18/20,2341702,77240,165082,6152
4/19/20,2418307,76605,170314,5232
4/20/20,2494325,76018,176188,5874
4/21/20,2570074,75749,183463,7275
4/22/20,2651321,81247,190319,6856
4/23/20,2735570,84249,197154,6835
4/24/20,2819666,84096,203922,6768
4/25/20,2901925,82259,209549,5627
4/26/20,2973513,71588,213528,3979
4/27/20,3043705,70192,218274,4746
4/28/20,3119245,75540,224855,6581
4/29/20,3196355,77110,231577,6722
4/30/20,3279850,83495,237420,5843
5/1/20,3368226,88376,242567,5147
5/2/20,3447426,79200,248063,5496
5/3/20,3523799,76373,251573,3510
5/4/20,3601488,77689,255785,4212
5/5/20,3681990,80502,261612,5827
5/6/20,3772018,90028,268115,6503
5/7/20,3860724,88706,273423,5308
5/8/20,3951003,90279,278973,5550
5/9/20,4036226,85223,283197,4224
5/10/20,4111202,74976,286754,3557
